iShares Russell 2000 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"291,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","815,609,717.44","1.04","815,609,717.44","5,417,174.00","150.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","529,132,799.44","0.68","529,132,799.44","3,802,334.00","139.16","United States","NASDAQ","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","498,170,072.54","0.64","498,170,072.54","4,131,106.00","120.59","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","455,353,992.40","0.58","455,353,992.40","15,767,105.00","28.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","438,071,129.00","0.56","438,071,129.00","897,025.00","488.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","411,592,527.50","0.53","411,592,527.50","3,359,939.00","122.50","United States","NASDAQ","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","405,349,509.60","0.52","405,349,509.60","8,387,120.00","48.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","363,788,852.22","0.46","363,788,852.22","15,879,042.00","22.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXT","NEXTPOWER INC CLASS A","Industrials","Equity","363,131,112.96","0.46","363,131,112.96","3,619,728.00","100.32","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","348,486,094.25","0.44","348,486,094.25","3,010,679.00","115.75","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","337,502,474.40","0.43","337,502,474.40","2,680,080.00","125.93","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","307,467,342.45","0.39","307,467,342.45","3,934,323.00","78.15","United States","NASDAQ","USD","1.00","USD","-"
